Plate,Replicate,Row,Column,Well,WellType,strain,mediaconc
23-03-24_0.01_rep_2,1,A,1,A1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,2,A2,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,3,A3,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,4,A4,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,5,A5,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,6,A6,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,7,A7,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,8,A8,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,9,A9,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,10,A10,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,11,A11,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,A,12,A12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,B,1,B1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,B,2,B2,DATA,R2,0.01
23-03-24_0.01_rep_2,1,B,3,B3,DATA,R2,0.01
23-03-24_0.01_rep_2,1,B,4,B4,DATA,R2,0.01
23-03-24_0.01_rep_2,1,B,5,B5,BLANK,NA,0.01
23-03-24_0.01_rep_2,1,B,6,B6,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,B,7,B7,DATA,R12,0.01
23-03-24_0.01_rep_2,1,B,8,B8,DATA,R12,0.01
23-03-24_0.01_rep_2,1,B,9,B9,DATA,R12,0.01
23-03-24_0.01_rep_2,1,B,10,B10,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,B,11,B11,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,B,12,B12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,C,1,C1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,C,2,C2,DATA,R26,0.01
23-03-24_0.01_rep_2,1,C,3,C3,DATA,R26,0.01
23-03-24_0.01_rep_2,1,C,4,C4,DATA,R26,0.01
23-03-24_0.01_rep_2,1,C,5,C5,BLANK,NA,0.01
23-03-24_0.01_rep_2,1,C,6,C6,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,C,7,C7,DATA,R19,0.01
23-03-24_0.01_rep_2,1,C,8,C8,DATA,R19,0.01
23-03-24_0.01_rep_2,1,C,9,C9,DATA,R19,0.01
23-03-24_0.01_rep_2,1,C,10,C10,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,C,11,C11,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,C,12,C12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,D,1,D1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,D,2,D2,DATA,R3,0.01
23-03-24_0.01_rep_2,1,D,3,D3,DATA,R3,0.01
23-03-24_0.01_rep_2,1,D,4,D4,DATA,R3,0.01
23-03-24_0.01_rep_2,1,D,5,D5,BLANK,NA,0.01
23-03-24_0.01_rep_2,1,D,6,D6,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,D,7,D7,DATA,R18,0.01
23-03-24_0.01_rep_2,1,D,8,D8,DATA,R18,0.01
23-03-24_0.01_rep_2,1,D,9,D9,DATA,R18,0.01
23-03-24_0.01_rep_2,1,D,10,D10,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,D,11,D11,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,D,12,D12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,E,1,E1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,E,2,E2,DATA,MG1655,0.01
23-03-24_0.01_rep_2,1,E,3,E3,DATA,MG1655,0.01
23-03-24_0.01_rep_2,1,E,4,E4,DATA,MG1655,0.01
23-03-24_0.01_rep_2,1,E,5,E5,BLANK,NA,0.01
23-03-24_0.01_rep_2,1,E,6,E6,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,E,7,E7,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,E,8,E8,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,E,9,E9,DATA,R14,0.01
23-03-24_0.01_rep_2,1,E,10,E10,DATA,R14,0.01
23-03-24_0.01_rep_2,1,E,11,E11,DATA,R14,0.01
23-03-24_0.01_rep_2,1,E,12,E12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,F,1,F1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,F,2,F2,DATA,R36,0.01
23-03-24_0.01_rep_2,1,F,3,F3,DATA,R36,0.01
23-03-24_0.01_rep_2,1,F,4,F4,DATA,R36,0.01
23-03-24_0.01_rep_2,1,F,5,F5,BLANK,NA,0.01
23-03-24_0.01_rep_2,1,F,6,F6,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,F,7,F7,DATA,R17,0.01
23-03-24_0.01_rep_2,1,F,8,F8,DATA,R17,0.01
23-03-24_0.01_rep_2,1,F,9,F9,DATA,R17,0.01
23-03-24_0.01_rep_2,1,F,10,F10,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,F,11,F11,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,F,12,F12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,G,1,G1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,G,2,G2,DATA,R9,0.01
23-03-24_0.01_rep_2,1,G,3,G3,DATA,R9,0.01
23-03-24_0.01_rep_2,1,G,4,G4,DATA,R9,0.01
23-03-24_0.01_rep_2,1,G,5,G5,BLANK,NA,0.01
23-03-24_0.01_rep_2,1,G,6,G6,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,G,7,G7,DATA,R30,0.01
23-03-24_0.01_rep_2,1,G,8,G8,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,G,9,G9,DATA,R30,0.01
23-03-24_0.01_rep_2,1,G,10,G10,DATA,R30,0.01
23-03-24_0.01_rep_2,1,G,11,G11,EMPTY,NA,0.01
23-03-24_0.01_rep_2,1,G,12,G12,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,1,H1,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,2,H2,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,3,H3,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,4,H4,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,5,H5,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,6,H6,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,7,H7,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,8,H8,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,9,H9,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,10,H10,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,11,H11,EMPTY,NA,NA
23-03-24_0.01_rep_2,1,H,12,H12,EMPTY,NA,NA
